StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q5,Q6,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q1,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q12
2023-02-22 05:52:05,2023-02-22 05:56:24,IP Address,2.30.75.19,100,258,True,2023-02-22 05:56:24,R_1mjUDIH5sDNb1NH,,,,,51.4831,-0.1646,anonymous,EN,Year 3,None at all,Not confident at all,A moderate amount,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,A lot,A lot,A lot,A lot,A lot,A lot,By yourself,,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,
2023-02-22 05:52:18,2023-02-22 05:58:08,IP Address,82.132.212.16,100,349,True,2023-02-22 05:58:09,R_12Fs87IqlxZNz3X,,,,,51.5113,-0.2714,anonymous,EN,Year 3,None at all,Very confident,A lot,Very important,Very important,Moderately important,Very important,Very important,Moderately important,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,"Using python to generate images/graphics, and interactive code.",A great deal,A moderate amount,A lot,A great deal,A great deal,A great deal,"By yourself,In pairs",,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Resource/Database specifically for chemistry-specific programming with examples of common code & uses
2023-02-22 06:16:15,2023-02-22 06:19:39,IP Address,146.169.129.225,100,204,True,2023-02-22 06:19:40,R_2Yr1PhO7rI96mfh,,,,,51.5788,-0.1235,anonymous,EN,Year 3,None at all,Moderately confident,A lot,Very important,Very important,Moderately important,Moderately important,Very important,Moderately important,Very important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,DataFrames and Seaborn,A lot,A moderate amount,A moderate amount,A lot,A lot,A lot,By yourself,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,
2023-02-22 06:22:18,2023-02-22 06:23:49,IP Address,146.169.130.203,100,91,True,2023-02-22 06:23:50,R_3qWqBjal4bf5lN0,,,,,51.5466,-0.1232,anonymous,EN,Year 4,None at all,Very confident,A lot,Very important,Very important,Extremely important,Moderately important,Very important,Very important,Extremely important,Moderately important,Very important,Extremely important,Very important,Very important,,A moderate amount,A moderate amount,A lot,A lot,A great deal,A lot,"By yourself,In pairs",,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,
2023-02-22 06:27:46,2023-02-22 06:31:03,IP Address,86.155.17.134,100,196,True,2023-02-22 06:31:03,R_12m23ABN8qxs6Uz,,,,,51.5042,-0.2199,anonymous,EN,Year 3,None at all,Not confident at all,A moderate amount,Very important,Extremely important,Very important,Very important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,,A great deal,A lot,A lot,A great deal,A lot,A lot,"In pairs,In groups",,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,
2023-02-22 07:00:08,2023-02-22 07:03:40,IP Address,146.169.205.97,100,211,True,2023-02-22 07:03:40,R_yX7UA0jSaUrhH4R,,,,,51.5268,-0.187,anonymous,EN,Year 4,None at all,Moderately confident,A lot,Extremely important,Very important,Extremely important,Very important,Very important,Moderately important,Very important,Extremely important,Moderately important,Very important,Moderately important,Moderately important,,A lot,A little,A lot,A moderate amount,A lot,A moderate amount,By yourself,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,
2023-02-22 07:13:08,2023-02-22 07:15:44,IP Address,5.151.181.64,100,156,True,2023-02-22 07:15:45,R_3NxiAWk71ePVV4o,,,,,51.5474,-0.0098,anonymous,EN,Year 2,None at all,Moderately confident,A moderate amount,Moderately important,Moderately important,Slightly important,Slightly important,Very important,Slightly important,Moderately important,Slightly important,Very important,Moderately important,Slightly important,Very important,,A little,A lot,A moderate amount,A lot,A moderate amount,A moderate amount,By yourself,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,
2023-02-22 07:13:58,2023-02-22 07:16:41,IP Address,146.179.86.134,100,163,True,2023-02-22 07:16:41,R_3qL4mIgY7GrN4Rx,,,,,51.4957,-0.1772,anonymous,EN,Year 1,None at all,Not confident at all,A little,Moderately important,Moderately important,Moderately important,Extremely important,Very important,Moderately important,Extremely important,Extremely important,Very important,Extremely important,Slightly important,Moderately important,,A great deal,A great deal,A great deal,A moderate amount,A little,A lot,In groups,,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,
2023-02-22 07:28:49,2023-02-22 07:32:31,IP Address,79.73.135.43,100,222,True,2023-02-22 07:32:32,R_50e6euJqRBLgUHD,,,,,51.5074,-0.1196,anonymous,EN,Year 1,None at all,Slightly confident,A little,Very important,Slightly important,Not at all important,Moderately important,Very important,Very important,Extremely important,Moderately important,Moderately important,Very important,Moderately important,Extremely important,,A lot,A lot,A lot,A lot,A lot,A great deal,In pairs,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,
2023-02-22 07:30:46,2023-02-22 07:36:24,IP Address,146.169.250.235,100,337,True,2023-02-22 07:36:24,R_1M4FczQY5AvC4Jo,,,,,51.3576,-0.3399,anonymous,EN,Year 2,Beginner,Slightly confident,A moderate amount,Very important,Moderately important,Slightly important,Slightly important,Very important,Extremely important,Very important,Very important,Very important,Very important,Extremely important,Very important,,A moderate amount,None at all,A moderate amount,A lot,A great deal,A moderate amount,By yourself,,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,
2023-02-22 05:31:58,2023-02-22 09:57:34,IP Address,77.103.69.225,100,15935,True,2023-02-22 09:57:34,R_1LATZpHpNkbUd4G,,,,,51.621,-0.051,anonymous,EN,Year 2,Intermediate,Moderately confident,A moderate amount,Moderately important,Moderately important,Slightly important,Extremely important,Very important,Not at all important,Very important,Slightly important,Very important,Extremely important,Moderately important,Slightly important,,A great deal,A great deal,A great deal,A great deal,A lot,A great deal,"In pairs,In groups",,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,
2023-02-22 11:28:37,2023-02-22 11:30:41,IP Address,2.120.101.9,100,123,True,2023-02-22 11:30:41,R_2cuSMZDHXpPJ4Ag,,,,,51.4638,0.1434,anonymous,EN,Year 3,None at all,Extremely confident,A great deal,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Moderately important,Moderately important,Moderately important,Very important,,A great deal,A moderate amount,A moderate amount,A lot,A great deal,A great deal,By yourself,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2023-02-22 11:50:27,2023-02-22 11:52:34,IP Address,140.228.56.194,100,126,True,2023-02-22 11:52:34,R_1QhCgBVA5F6oRbT,,,,,51.5064,-0.02,anonymous,EN,Year 3,Beginner,Moderately confident,A lot,Very important,Very important,Moderately important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,,A great deal,A lot,A great deal,A lot,A great deal,A great deal,"By yourself,In pairs",,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,
2023-02-22 14:55:32,2023-02-22 15:01:53,IP Address,86.155.17.134,100,381,True,2023-02-22 15:01:54,R_79C2QCWhSimdxpT,,,,,51.5042,-0.2199,anonymous,EN,Year 3,Intermediate,Moderately confident,A moderate amount,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,The different ways of doing things so we can recognise why others code may not be exactly like ours,A great deal,A moderate amount,A moderate amount,A little,A lot,A great deal,In groups,,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,
2023-02-22 16:00:24,2023-02-22 16:03:08,IP Address,31.205.213.159,100,163,True,2023-02-22 16:03:08,R_3nShU93A1d6e9vT,,,,,51.489,-0.215,anonymous,EN,Year 2,None at all,Not confident at all,None at all,Very important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Very important,Very important,Very important,Very important,Very important,Very important,please don't make the assignment very hard. I'd like to learn new things in python courses but not in the assignment.,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,"In pairs,In groups",,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,make the assignment easier plz
2023-02-24 05:10:21,2023-02-24 05:55:29,IP Address,146.169.161.96,100,2707,True,2023-02-24 05:55:30,R_1otXZznibPcTi3I,,,,,51.5113,-0.2714,anonymous,EN,Year 3,None at all,Extremely confident,A great deal,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Programming experiments,A great deal,A moderate amount,A great deal,A moderate amount,A great deal,A great deal,"By yourself,In pairs",,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spreading out the 1st year coding workshops so that there is more time to understand what is going on rather than cramming all 4 workshops into 1 week - spacing them out over 2 or even 4 weeks would be so much better "
2023-03-01 05:30:55,2023-03-01 05:33:01,IP Address,148.252.129.8,100,126,True,2023-03-01 05:33:02,R_5cYdv0iFTDVpJrr,,,,,51.4964,-0.1224,anonymous,EN,Year 2,Intermediate,Very confident,A great deal,Moderately important,Moderately important,Moderately important,Slightly important,Moderately important,Extremely important,Very important,Very important,Very important,Very important,Slightly important,Very important,,A lot,A little,A moderate amount,A moderate amount,A lot,A lot,By yourself,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,
2023-03-01 05:31:06,2023-03-01 05:33:06,IP Address,146.169.224.133,100,120,True,2023-03-01 05:33:07,R_6FfAsjSPQ5troSR,,,,,51.5095,-0.0955,anonymous,EN,Year 2,None at all,Slightly confident,A moderate amount,Slightly important,Moderately important,Slightly important,Very important,Extremely important,Not at all important,Extremely important,Very important,Moderately important,Very important,Not at all important,Very important,,A great deal,A little,A moderate amount,A moderate amount,A lot,A lot,In groups,,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,
2023-03-01 05:31:17,2023-03-01 05:33:08,IP Address,84.67.76.209,100,111,True,2023-03-01 05:33:08,R_3M577YJlFcURvhm,,,,,51.451,-0.0463,anonymous,EN,Year 3,Intermediate,Extremely confident,A lot,Very important,Extremely important,Slightly important,Very important,Extremely important,Very important,Extremely important,Moderately important,Slightly important,Slightly important,Not at all important,Extremely important,Learn about object oriented programming earlier in the degree,A great deal,A little,None at all,A lot,A great deal,A lot,By yourself,,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,
2023-03-01 05:31:05,2023-03-01 05:33:53,IP Address,146.169.170.105,100,167,True,2023-03-01 05:33:53,R_1ewVyfgPtPFYL78,,,,,51.5042,-0.2199,anonymous,EN,Year 3,None at all,Slightly confident,A lot,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Moderately important,Very important,Extremely important,,A moderate amount,A moderate amount,A great deal,A great deal,A great deal,A great deal,By yourself,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,
2023-03-01 05:31:20,2023-03-01 05:38:57,IP Address,146.169.137.22,100,456,True,2023-03-01 05:38:58,R_1obPlEO8zHYwSfl,,,,,51.5043,-0.2211,anonymous,EN,Year 3,None at all,Slightly confident,A moderate amount,Very important,Slightly important,Slightly important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,"How to write “good” code, like give us tips to keep things neat and efficient ",A great deal,None at all,A great deal,A great deal,A great deal,A great deal,"In pairs,In groups","In person makes me more switched on ",Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,"In person programming labs/workshop. I remember in first year joao was quite short with people when they had questions that were obviously because they weren’t paying attention. That’s going to happen if it’s all remote because it’s not very stimulating, I think in person would switch people on more and they will ask more insightful questions and then hopefully demonstrators will have more patience. My first coding experiences was so scary and intimidating it put me off for my whole degree and I’m only just understanding it’s soemthing I can’t avoid. I feel like if I had a better introduction I’d be less intimidated - there should be emphasis or maybe a seperate class for people who have never coded before who need more patience and empathy. Being treated like a computer didn’t make me feel good at all "
2023-03-01 05:37:16,2023-03-01 05:41:05,IP Address,146.169.170.28,100,229,True,2023-03-01 05:41:06,R_12attGhXx6iEJvS,,,,,51.5042,-0.2199,anonymous,EN,Year 2,Beginner,Slightly confident,A lot,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Moderately important,Extremely important,Extremely important,Moderately important,Extremely important,,A lot,A great deal,A lot,A great deal,A great deal,A great deal,In pairs,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,
2023-03-01 05:44:26,2023-03-01 05:46:07,IP Address,148.252.132.243,100,100,True,2023-03-01 05:46:07,R_OwWkaOCXZ5QB0pX,,,,,55.9552,-3.2,anonymous,EN,Year 3,Beginner,Moderately confident,A lot,Moderately important,Slightly important,Slightly important,Extremely important,Very important,Moderately important,Extremely important,Extremely important,Moderately important,Moderately important,Moderately important,Slightly important,,A great deal,A great deal,A lot,A great deal,A lot,A great deal,In pairs,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,
2023-03-01 05:41:37,2023-03-01 05:47:01,IP Address,81.104.115.200,100,323,True,2023-03-01 05:47:01,R_2uWpGv8HndDZ5QB,,,,,51.5042,-0.2199,anonymous,EN,Year 2,None at all,Moderately confident,A moderate amount,Moderately important,Extremely important,Very important,Very important,Very important,Moderately important,Extremely important,Very important,Very important,Very important,Extremely important,Extremely important,,A lot,A lot,A lot,A lot,A lot,A lot,By yourself,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,
2023-03-01 05:46:24,2023-03-01 05:47:43,IP Address,155.198.230.129,100,79,True,2023-03-01 05:47:43,R_2X5MP4Km8fxqOpu,,,,,51.575,0.4173,anonymous,EN,Year 3,Beginner,Extremely confident,A great deal,Very important,Extremely important,Very important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Very important,Moderately important,Very important,,A great deal,A moderate amount,A great deal,A lot,A great deal,A great deal,By yourself,,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,
2023-02-22 05:55:06,2023-02-22 05:55:26,IP Address,84.67.76.209,33,19,False,2023-03-01 05:55:32,R_1DoSg52oYEXcTLx,,,,,,,anonymous,EN,Year 3,None at all,Moderately confident,A little,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 05:55:15,2023-03-01 06:02:54,IP Address,146.169.147.159,100,459,True,2023-03-01 06:02:55,R_yBJi54jfLSGU0BH,,,,,51.5064,-0.02,anonymous,EN,Year 4,None at all,Moderately confident,A little,Very important,Slightly important,Slightly important,Slightly important,Moderately important,Very important,Very important,Moderately important,Very important,Slightly important,Very important,Very important,,A lot,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,"By yourself,In pairs",,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,
2023-03-01 06:03:32,2023-03-01 06:05:07,IP Address,86.9.223.96,100,94,True,2023-03-01 06:05:07,R_3QF9x3kwm2A6HXe,,,,,51.5032,-0.204,anonymous,EN,Year 3,None at all,Slightly confident,A moderate amount,Extremely important,Moderately important,Not at all important,Moderately important,Extremely important,Not at all important,Not at all important,Very important,Extremely important,Extremely important,Not at all important,Extremely important,,A great deal,A moderate amount,None at all,A great deal,A great deal,A moderate amount,By yourself,,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2023-03-01 06:02:22,2023-03-01 06:11:30,IP Address,92.234.126.206,100,548,True,2023-03-01 06:11:30,R_2rGVBSx19x89uAr,,,,,51.443,-0.3295,anonymous,EN,Year 4,None at all,Moderately confident,A moderate amount,Very important,Very important,Very important,Slightly important,Slightly important,Extremely important,Extremely important,Extremely important,Slightly important,Extremely important,Moderately important,Slightly important,"I might be wrong but I don't think class and objects were covered in the course, but I think class is one of the most important things in object oriented language like python. It might be a little hard for some people but do include it.",A lot,A little,A moderate amount,A moderate amount,A little,A great deal,By yourself,I don't have any specific activities in mind but anything that encourages students to search online and read the documentation would be great. After all there are too many packages out there and the course cannot cover them all. Students must learn for themselves how to learn a new package.,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,
2023-03-01 06:28:20,2023-03-01 06:30:00,IP Address,82.132.230.73,100,99,True,2023-03-01 06:30:01,R_2CVTR8G9pMz9mkO,,,,,51.4897,-0.1063,anonymous,EN,Year 2,None at all,Very confident,A great deal,Very important,Very important,Very important,Very important,Very important,Extremely important,Moderately important,Extremely important,Extremely important,Very important,Moderately important,Extremely important,OOP,A lot,A lot,A moderate amount,A moderate amount,A great deal,A lot,"By yourself,In pairs",,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,
2023-03-01 06:29:21,2023-03-01 06:32:15,IP Address,155.198.230.128,100,174,True,2023-03-01 06:32:16,R_1goa10zWqxxvi14,,,,,51.575,0.4173,anonymous,EN,Year 2,None at all,Not confident at all,A little,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Moderately important,Slightly important,Moderately important,Extremely important,,A little,A lot,A lot,A great deal,A great deal,A moderate amount,"By yourself,In groups",,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,
2023-02-22 06:38:23,2023-02-22 06:38:30,IP Address,146.169.239.203,17,6,False,2023-03-01 06:38:32,R_1eRUB3L170nhvd6,,,,,,,anonymous,EN,Year 2,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 06:36:18,2023-03-01 06:41:10,IP Address,148.252.141.180,100,291,True,2023-03-01 06:41:10,R_2a8EE4W2XQM8g0Z,,,,,51.4964,-0.1224,anonymous,EN,Year 3,None at all,Very confident,A great deal,Moderately important,Extremely important,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Very important,Extremely important,Very important,,A lot,A little,A great deal,A great deal,A lot,A moderate amount,"By yourself,In pairs",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,
2023-03-01 06:45:29,2023-03-01 06:47:47,IP Address,146.169.194.15,100,137,True,2023-03-01 06:47:48,R_wTYZQSu2rATbShP,,,,,51.4957,-0.1772,anonymous,EN,Year 4,None at all,Moderately confident,A little,Extremely important,Very important,Moderately important,Very important,Moderately important,Moderately important,Extremely important,Extremely important,Moderately important,Very important,Slightly important,Very important,,A lot,A moderate amount,A lot,A lot,A lot,A lot,In pairs,,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,
