StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6
2023-02-15 05:40:28,2023-02-15 05:43:12,0,149.34.165.112,100,164,1,2023-02-15 05:43:13,R_1d62qyXNhS2Dso3,,,,,51.5042,-0.2199,anonymous,EN,4,1,4,4,4,4,4,4,4,5,,,4,5,4,4,4,4
2023-02-15 05:40:56,2023-02-15 05:43:25,0,192.76.8.68,100,148,1,2023-02-15 05:43:25,R_2CiYghuJaP5N46m,,,,,51.4964,-0.1224,anonymous,EN,3,1,2,3,4,3,4,4,3,3,More guided teaching to basics might help? As in how to understand python as a language.,Idk,2,4,5,4,4,5
2023-02-15 05:43:00,2023-02-15 05:44:28,0,146.169.148.1,100,88,1,2023-02-15 05:44:29,R_2QDMKqBDGZYjRfs,,,,,51.477,-0.1959,anonymous,EN,2,3,4,2,2,3,2,2,1,5,,,5,4,4,4,4,4
2023-02-15 05:41:51,2023-02-15 05:45:14,0,155.198.36.26,100,203,1,2023-02-15 05:45:15,R_33yFUhndlxQZeQF,,,,,51.4957,-0.1772,anonymous,EN,3,1,3,2,4,2,3,3,3,4,,,3,2,4,2,2,1
2023-02-15 05:41:55,2023-02-15 05:45:26,0,146.169.235.130,100,211,1,2023-02-15 05:45:26,R_2wST2GZGuRp6yHi,,,,,51.4772,-0.1197,anonymous,EN,4,1,5,5,5,5,4,3,2,5,,Would definitely appreciate if optional modules on modern techniques were offered - like different optimisation/data fitting techniques used in machine learning,4,5,3,5,4,2
2023-02-15 05:44:22,2023-02-15 05:45:47,0,146.169.140.105,100,84,1,2023-02-15 05:45:47,R_3HUeClKnDmdYv1h,,,,,51.5484,0.1716,anonymous,EN,1,1,1,1,1,1,1,1,1,3,,,1,4,3,,1,1
2023-02-15 05:44:26,2023-02-15 05:46:07,0,188.30.74.151,100,101,1,2023-02-15 05:46:08,R_33eUtdpOsIWbeT2,,,,,51.5074,-0.1196,anonymous,EN,3,1,5,5,4,5,4,3,2,5,,,5,5,3,4,4,3
2023-02-15 05:44:06,2023-02-15 05:46:17,0,146.169.139.65,100,131,1,2023-02-15 05:46:18,R_UDtuu6JxQnWSSBz,,,,,51.4957,-0.1772,anonymous,EN,3,2,4,5,5,5,5,3,4,4,"More exercises ","Some kind of introduction on how Python works (library such as numpy, origin...)",5,5,4,5,4,4
2023-02-15 05:45:30,2023-02-15 05:46:26,0,146.179.86.128,100,56,1,2023-02-15 05:46:27,R_sBtSoSelh3OvO4V,,,,,51.4957,-0.1772,anonymous,EN,1,2,5,3,3,4,4,3,5,3,,,5,5,5,4,5,3
2023-02-15 05:45:06,2023-02-15 05:46:59,0,62.254.10.148,100,112,1,2023-02-15 05:46:59,R_1QMC9BnDdy76vPG,,,,,51.5888,-0.0247,anonymous,EN,2,1,2,2,2,2,3,3,2,3,"Making it not so rushed ",No,2,2,2,4,4,3
2023-02-15 05:46:33,2023-02-15 05:47:32,0,146.169.137.238,100,58,1,2023-02-15 05:47:32,R_3PGJALzSQqldXju,,,,,51.4781,-0.0279,anonymous,EN,2,1,1,4,1,3,1,1,1,4,,,4,2,5,3,1,1
2023-02-15 05:45:50,2023-02-15 05:47:38,0,86.7.250.194,100,108,1,2023-02-15 05:47:39,R_2B8zi7kTWLek1sV,,,,,51.5646,0.0898,anonymous,EN,2,2,4,4,4,4,4,3,3,4,Have a written guide for the programming languages,Matlab would be a good programming language to teach for epr,3,4,4,4,4,4
2023-02-15 05:46:07,2023-02-15 05:48:54,0,91.110.46.253,100,167,1,2023-02-15 05:48:54,R_YbOF4vQ5twpekyl,,,,,51.4719,-0.1616,anonymous,EN,3,1,2,3,4,3,2,2,3,4,I would like more in-person Python programming courses to help me improve the skill.,Too many...,2,4,4,3,3,3
2023-02-15 05:49:35,2023-02-15 05:50:24,0,149.86.33.213,100,48,1,2023-02-15 05:50:24,R_AbVtBKGVliBHRxT,,,,,51.477,-0.1959,anonymous,EN,3,3,4,4,5,4,4,2,4,5,,,3,4,4,4,4,3
2023-02-15 05:48:26,2023-02-15 05:51:04,0,146.169.167.18,100,157,1,2023-02-15 05:51:04,R_3kb4htwSAu2sXjB,,,,,51.443,-0.3295,anonymous,EN,4,1,4,5,4,5,4,3,2,4,,,4,4,4,2,4,2
2023-02-15 05:50:11,2023-02-15 05:51:32,0,146.179.86.185,100,81,1,2023-02-15 05:51:32,R_3hEGyBJLzAuDeUk,,,,,51.4957,-0.1772,anonymous,EN,1,1,2,5,5,4,4,3,2,5,,,4,5,2,2,4,1
2023-02-15 05:52:07,2023-02-15 05:53:18,0,146.169.175.217,100,71,1,2023-02-15 05:53:19,R_3mgzR6NHjInw2Yo,,,,,51.4781,-0.0279,anonymous,EN,3,1,3,4,4,4,3,3,1,5,,,4,5,5,5,5,3
2023-02-15 05:53:31,2023-02-15 05:55:50,0,146.179.86.152,100,139,1,2023-02-15 05:55:50,R_3PaxOt1G6uKzORC,,,,,51.4957,-0.1772,anonymous,EN,1,2,1,3,3,3,3,3,3,4,,,3,5,5,4,5,3
2023-02-15 05:45:29,2023-02-15 05:55:52,0,146.169.147.109,100,623,1,2023-02-15 05:55:52,R_1M7FXN23hGWnwiZ,,,,,51.4957,-0.1772,anonymous,EN,3,1,4,4,4,4,4,4,4,4,More practices? Tendency to forget the syntax,"Pandas, Seaborn",4,4,2,4,2,3
2023-02-15 05:55:11,2023-02-15 05:58:06,0,82.23.78.72,100,175,1,2023-02-15 05:58:07,R_2ro4bRiNX3zCB1e,,,,,51.5213,-0.2715,anonymous,EN,2,2,4,4,5,4,3,2,2,4,"Don't think so, I think the year 1 programming labs were really useful",,4,3,4,3,3,3
2023-02-15 05:57:45,2023-02-15 06:00:31,0,148.252.128.123,100,165,1,2023-02-15 06:00:32,R_2SCthleJf92gWgD,,,,,51.4964,-0.1224,anonymous,EN,4,3,5,3,4,5,4,4,2,5,,A deeper dive into matplotlib would be appreciated. Also I think students would have benefitted from knowledge of the pandas library for data handling,5,4,4,5,5,4
2023-02-15 06:00:21,2023-02-15 06:03:05,0,62.254.10.21,100,163,1,2023-02-15 06:03:05,R_ZgiW8wpdbPNdgE9,,,,,51.5648,-0.1374,anonymous,EN,3,1,5,5,5,5,4,4,2,5,"More detailed feedback and more challenging classes ",More advanced coding classes and also teach how pandas package is helpful for data analysis,5,5,5,5,5,3
2023-02-15 06:06:49,2023-02-15 06:08:49,0,2.216.3.77,100,119,1,2023-02-15 06:08:49,R_sIgSFeHNTyAElpv,,,,,51.5494,-0.3664,anonymous,EN,2,1,3,2,4,2,4,4,2,5,,,4,3,4,2,4,2
2023-02-15 06:04:28,2023-02-15 06:09:47,0,152.37.108.56,100,318,1,2023-02-15 06:09:47,R_2Y9qKbIiocO26pX,,,,,51.5128,-0.0638,anonymous,EN,2,2,4,3,4,3,4,3,2,4,More links between python coding and chemistry in the workshop exercises,deeper look into error analysis,3,4,5,3,4,3
2023-02-15 06:09:01,2023-02-15 06:10:57,0,81.155.49.46,100,115,1,2023-02-15 06:10:58,R_1CpcIB1kBOZKBqc,,,,,51.5689,0.008,anonymous,EN,3,1,3,4,4,2,4,3,4,3,,,2,4,2,2,5,3
2023-02-15 06:08:54,2023-02-15 06:11:33,0,146.169.157.121,100,159,1,2023-02-15 06:11:34,R_2f9Z4orBMx2MCVf,,,,,51.509,-0.1882,anonymous,EN,4,1,2,5,4,5,4,3,2,2,,How python could be used outside of data analysis,5,5,5,4,4,2
2023-02-15 06:12:15,2023-02-15 06:14:06,0,146.169.231.200,100,110,1,2023-02-15 06:14:07,R_2uQIliN8s5M4FQP,,,,,51.4831,-0.1646,anonymous,EN,3,1,2,2,4,2,3,3,4,2,Nope,Nope,2,2,4,2,2,3
2023-02-15 06:19:00,2023-02-15 06:21:10,0,146.169.235.220,100,129,1,2023-02-15 06:21:10,R_eQEV3R8RKNb6obn,,,,,51.4772,-0.1197,anonymous,EN,3,2,3,3,5,4,4,4,3,3,,,5,5,4,5,3,4
2023-02-15 06:21:09,2023-02-15 06:25:01,0,213.205.194.52,100,232,1,2023-02-15 06:25:02,R_2P6C2p7Toj73aXE,,,,,51.4615,-0.1409,anonymous,EN,2,1,3,2,4,3,2,1,2,5,make all the data plotting programming in the same session，tomake it more accessible,like the “sum”…,3,4,4,4,5,3
2023-02-15 06:27:23,2023-02-15 06:28:52,0,146.169.210.12,100,88,1,2023-02-15 06:28:52,R_W1fLJqvzDRLx43L,,,,,51.509,-0.1882,anonymous,EN,3,1,2,2,4,3,4,3,2,1,,,2,4,2,2,4,1
2023-02-15 06:29:52,2023-02-15 06:31:34,0,86.15.130.97,100,102,1,2023-02-15 06:31:35,R_2fJX9rlRLP3jRCm,,,,,51.2604,-1.0825,anonymous,EN,2,2,4,3,4,3,3,3,1,5,More 1:1 written feedback,,2,3,3,3,4,3
2023-02-15 06:35:09,2023-02-15 06:36:53,0,146.179.86.148,100,104,1,2023-02-15 06:36:53,R_2VEWARBdYOVfl1V,,,,,51.4957,-0.1772,anonymous,EN,1,1,2,4,4,2,3,2,3,2,,,2,3,4,4,4,4
2023-02-15 06:44:22,2023-02-15 06:45:54,0,79.77.120.7,100,92,1,2023-02-15 06:45:54,R_3JkkICYtGCKtERq,,,,,51.8613,-0.4656,anonymous,EN,2,1,4,4,5,3,4,3,2,4,,,3,2,4,3,4,3
2023-02-15 06:52:32,2023-02-15 06:54:29,0,86.28.185.168,100,116,1,2023-02-15 06:54:30,R_2zoRdZCAVPIacmB,,,,,51.5005,-0.1905,anonymous,EN,3,1,4,5,5,4,5,5,5,4,,,4,5,1,3,3,1
2023-02-15 06:52:47,2023-02-15 06:54:51,0,5.66.115.6,100,124,1,2023-02-15 06:54:52,R_2CJ840K6hfpHqJj,,,,,51.5042,-0.2199,anonymous,EN,1,1,3,3,4,2,5,4,2,4,It would maybe be helpful to have a sheet of common python input,,1,2,2,1,1,1
2023-02-15 06:57:32,2023-02-15 06:58:46,0,31.205.25.84,100,74,1,2023-02-15 06:58:47,R_2V9Mmbm9lkKvEVx,,,,,51.5026,-0.066,anonymous,EN,1,1,3,4,4,4,4,3,2,3,,,4,4,4,4,4,4
2023-02-15 06:59:32,2023-02-15 07:01:23,0,147.12.140.226,100,111,1,2023-02-15 07:01:24,R_3F22r1jUwyYFELi,,,,,51.5043,-0.2211,anonymous,EN,2,2,3,4,4,3,3,1,2,4,,,3,4,3,2,4,3
2023-02-15 07:01:58,2023-02-15 07:03:09,0,146.169.155.53,100,70,1,2023-02-15 07:03:09,R_2bJYyW6cTQ7jlyM,,,,,51.509,-0.1882,anonymous,EN,4,1,5,5,5,5,4,4,1,4,,,4,3,5,1,5,5
2023-02-15 07:53:32,2023-02-15 07:55:24,0,146.169.128.237,100,111,1,2023-02-15 07:55:25,R_31z9WxACQCVbkxi,,,,,51.5329,-0.005,anonymous,EN,4,2,4,5,5,5,4,4,2,4,,,5,5,4,5,3,3
2023-02-15 08:03:32,2023-02-15 08:04:55,0,80.1.99.119,100,82,1,2023-02-15 08:04:55,R_Q6YcQMwUAFpjXbj,,,,,51.4859,-0.304,anonymous,EN,3,1,3,3,3,3,4,3,1,4,,,3,4,2,3,3,1
2023-02-15 08:08:03,2023-02-15 08:09:45,0,90.201.158.160,100,102,1,2023-02-15 08:09:45,R_1r1eNj8m6eAsWJZ,,,,,51.3873,-0.1596,anonymous,EN,2,1,4,5,5,5,4,3,2,3,,"More diverse uses of python, generally more and more difficult applications of data analysis using python.",5,5,4,5,5,3
2023-02-15 08:16:00,2023-02-15 08:17:50,0,146.169.244.207,100,109,1,2023-02-15 08:17:50,R_3I4WY3fxU7B8q8P,,,,,51.5042,-0.2199,anonymous,EN,1,1,2,5,5,4,4,2,4,5,"More courses ",,3,4,4,2,5,3
2023-02-15 08:19:04,2023-02-15 08:25:51,0,86.141.40.46,100,407,1,2023-02-15 08:25:52,R_2VgtM7vUK01DoTx,,,,,51.5776,-0.1947,anonymous,EN,3,1,4,2,4,2,4,4,2,4,"More involved tutorials and consistent teaching to advance skills, and tailored resources, instead of just a one and done workshop once or twice a year. Perhaps dedicate an entire module to it since it is of integral importance to the entirety of the degree program.","How to use various software packages, I.E pandas, tensorflow, plotly for applications like machine learning and neural networks since these are of growing importance in research. Broad overview of how software for chemistry is developed, github, and the anatomy of software",2,5,2,2,4,4
2023-02-15 08:49:33,2023-02-15 08:51:33,0,86.19.121.75,100,120,1,2023-02-15 08:51:34,R_24pYJ0tfjPTaRHT,,,,,51.5564,0.0714,anonymous,EN,3,2,4,5,5,4,5,5,3,5,Nothing,Nothing,5,5,4,5,5,5
2023-02-15 08:58:52,2023-02-15 09:00:29,0,146.169.177.153,100,97,1,2023-02-15 09:00:29,R_1jq5rrhDcWGArFx,,,,,51.5043,-0.2211,anonymous,EN,1,1,2,2,3,4,4,3,2,3,Nope,Nope,3,4,4,4,4,3
2023-02-15 07:43:14,2023-02-15 09:09:29,0,146.179.86.139,100,5174,1,2023-02-15 09:09:29,R_1BXvpd1Qn1rZ6dG,,,,,51.4957,-0.1772,anonymous,EN,1,1,3,4,4,4,4,4,3,3,,,4,5,4,4,4,4
2023-02-15 09:07:28,2023-02-15 09:11:20,0,2.126.22.133,100,231,1,2023-02-15 09:11:20,R_10uwWtmtFQABDEs,,,,,51.4897,-0.1063,anonymous,EN,2,1,2,2,4,1,4,3,3,4,,,2,4,4,1,4,3
2023-02-15 09:10:51,2023-02-15 09:14:12,0,31.205.5.182,100,201,1,2023-02-15 09:14:13,R_3PENM88TDFKXn0q,,,,,51.5571,-0.2972,anonymous,EN,2,2,2,3,3,2,5,3,3,4,,,2,4,3,3,1,2
2023-02-15 09:15:08,2023-02-15 09:16:56,0,86.186.136.23,100,107,1,2023-02-15 09:16:56,R_2CNaLQSjXLVwYTX,,,,,51.5371,-0.2314,anonymous,EN,3,1,4,2,2,2,4,3,1,5,,,3,2,4,2,4,3
2023-02-15 09:19:26,2023-02-15 09:20:33,0,86.21.78.33,100,66,1,2023-02-15 09:20:33,R_1QrpDglNpQnPqfh,,,,,51.5435,-0.1733,anonymous,EN,3,1,3,4,4,4,4,4,4,4,,,4,4,4,4,4,4
2023-02-15 09:39:35,2023-02-15 09:40:39,0,146.179.86.153,100,63,1,2023-02-15 09:40:39,R_2VrxnH3ExcCVVFX,,,,,51.4957,-0.1772,anonymous,EN,3,1,4,4,5,4,2,1,1,4,Being taught how to use Python in better detail especially for stuff like MPC2,,3,5,5,2,4,4
2023-02-15 10:44:26,2023-02-15 10:45:44,0,2.26.17.230,100,78,1,2023-02-15 10:45:44,R_2PuueMj3WlWJdDm,,,,,51.509,-0.1882,anonymous,EN,3,1,3,2,4,3,3,3,3,4,,,1,4,4,2,3,1
2023-02-15 10:44:54,2023-02-15 10:48:06,0,146.169.236.29,100,192,1,2023-02-15 10:48:07,R_3RlyJj60kuuLtLF,,,,,51.509,-0.1882,anonymous,EN,2,2,4,4,5,3,5,3,2,4,Explain the stuff about error bars/uncertainty more,No,5,4,4,3,1,1
2023-02-15 10:54:46,2023-02-15 10:56:12,0,148.252.140.216,100,85,1,2023-02-15 10:56:12,R_rjvmVi9vU9vIj9n,,,,,51.4964,-0.1224,anonymous,EN,3,1,4,4,4,4,2,1,1,5,We should have more classes where we are taught to learn Python. Mostly for MPC students,,3,4,4,3,5,1
2023-02-15 11:15:59,2023-02-15 11:17:39,0,2.26.5.74,100,100,1,2023-02-15 11:17:40,R_28OiO8trmjQ7cLi,,,,,51.4831,-0.1646,anonymous,EN,2,1,3,3,4,2,4,1,2,3,,,1,2,5,2,3,2
2023-02-15 12:04:58,2023-02-15 12:06:29,0,104.28.42.122,100,91,1,2023-02-15 12:06:29,R_XAqt01860uFmNLX,,,,,51.5095,-0.0955,anonymous,EN,3,1,4,5,4,4,3,3,1,4,,,4,4,4,4,1,1
2023-02-15 12:51:57,2023-02-15 12:56:03,0,146.169.162.106,100,245,1,2023-02-15 12:56:03,R_eM8oPwQ95vl96et,,,,,51.5113,-0.2714,anonymous,EN,3,1,2,4,4,5,5,4,3,4,,,4,5,4,3,4,3
2023-02-15 12:57:27,2023-02-15 12:58:27,0,82.3.24.15,100,59,1,2023-02-15 12:58:27,R_3Etd9lEnK1MreJC,,,,,51.5113,-0.2714,anonymous,EN,3,1,4,4,4,4,4,4,3,2,,,4,4,4,4,3,3
2023-02-15 13:03:21,2023-02-15 13:07:17,0,146.169.186.46,100,235,1,2023-02-15 13:07:17,R_2DZzXZXafd3iOOI,,,,,51.5042,-0.2199,anonymous,EN,1,1,1,4,3,2,3,1,1,5,"teach it from the beginning so we know what is happening. ",,2,5,5,1,1,1
2023-02-15 12:51:09,2023-02-15 13:27:40,0,2.127.79.57,100,2191,1,2023-02-15 13:27:42,R_Z37DJ71qCQYazap,,,,,51.532,0.0884,anonymous,EN,3,1,5,5,5,5,4,2,2,5,Cover basics thoroughly before being used in labs/modules,"More on the programming aspect rather than just data analysis e.g. making functions, test cases, writing programs",5,5,5,5,5,3
2023-02-15 14:00:20,2023-02-15 14:01:06,0,146.179.86.170,100,45,1,2023-02-15 14:01:07,R_1lAevAO07pEuyDh,,,,,51.4957,-0.1772,anonymous,EN,1,1,2,2,2,2,2,2,2,4,,,2,2,2,2,2,2
2023-02-15 14:18:26,2023-02-15 14:21:29,0,78.86.38.4,100,182,1,2023-02-15 14:21:29,R_31sAuxY1ZJUxM2S,,,,,51.4964,-0.1224,anonymous,EN,3,1,5,3,5,4,4,3,1,5,"Explanations on how to code the long programs we use in comp labs - it’s always provided so I don’t always understand how it is working ","More labs on programming/automating chemical processes - I really enjoyed the computer controlled experiments 3rd yr physical lab so I think more of those (also in earlier years) would be nice! ",4,5,5,5,5,4
2023-02-15 14:38:02,2023-02-15 14:41:50,0,31.94.6.30,100,228,1,2023-02-15 14:41:51,R_10GjsSugaILX1XE,,,,,51.5074,-0.1196,anonymous,EN,4,1,4,4,5,5,5,4,3,4,"Fundamentals are very lacking and experience with other libraries. Especially on covering useful libraries like SciPy, Pandas or other useful data analysis software that are not NumPy.",Cover functional Vs object oriented at least for CMP students. Provide tasks that force people to use more functions other than curvefit,4,5,5,5,4,4
2023-02-15 15:44:45,2023-02-15 15:45:53,0,152.37.76.199,100,68,1,2023-02-15 15:45:54,R_1E5pIYZvXJDvGMl,,,,,51.5026,-0.066,anonymous,EN,3,3,1,1,2,2,2,2,2,5,Open-ended assignments,-,1,1,1,1,2,2
2023-02-15 15:47:19,2023-02-15 15:49:51,0,146.169.210.76,100,152,1,2023-02-15 15:49:52,R_1cTiGBYqm8jvfPL,,,,,51.509,-0.1882,anonymous,EN,1,1,2,3,4,3,1,1,1,4,,,3,5,5,4,4,4
2023-02-16 02:00:57,2023-02-16 02:02:44,0,146.169.137.248,100,106,1,2023-02-16 02:02:45,R_324x9y7WKSEg1VS,,,,,51.4781,-0.0279,anonymous,EN,2,3,4,3,4,2,4,2,1,5,,,2,3,5,5,5,5
2023-02-16 04:43:43,2023-02-16 04:46:36,0,155.198.230.156,100,173,1,2023-02-16 04:46:37,R_vSRODvWieF2gt8t,,,,,51.575,0.4173,anonymous,EN,2,1,5,5,5,5,3,3,3,5,doing both of the programming year 1 courses in first term as knowing about loops would have helped with the measurement science data analysis,,5,5,3,5,5,1
2023-02-16 04:55:28,2023-02-16 04:57:01,0,81.157.94.137,100,92,1,2023-02-16 04:57:01,R_25MmxDYQh1QB4Tl,,,,,51.477,-0.1959,anonymous,EN,2,2,2,2,4,4,5,5,1,5,,,4,5,4,1,4,1
2023-02-16 09:44:36,2023-02-16 09:45:48,0,146.169.186.44,100,72,1,2023-02-16 09:45:49,R_2WYcmQS9qpNG4rX,,,,,51.5042,-0.2199,anonymous,EN,2,1,1,1,4,1,3,2,2,5,more explanation at a slower pace,,1,1,4,1,3,3
2023-02-16 09:53:05,2023-02-16 09:54:56,0,146.169.230.226,100,110,1,2023-02-16 09:54:56,R_9zzt0crOMD3c4Df,,,,,51.4831,-0.1646,anonymous,EN,3,3,4,2,4,3,4,4,4,5,,,4,4,4,5,4,4
2023-02-16 10:20:17,2023-02-16 10:22:05,0,86.143.18.69,100,108,1,2023-02-16 10:22:06,R_3dZ0sxm6bz8Yaea,,,,,51.5435,-0.1733,anonymous,EN,2,1,3,4,4,4,4,2,1,4,,,3,5,5,4,5,4
2023-02-16 11:38:33,2023-02-16 11:43:59,0,2.216.221.111,100,326,1,2023-02-16 11:44:00,R_2sSxr5keFRmXoly,,,,,51.3488,-0.0321,anonymous,EN,2,1,3,4,4,3,4,4,2,4,I would like to have more opportunities to practice my programming skills so i'm better able to complete the assignments in computing labs- i think that applying python skills to creating simulations related to more theoretical aspects of the course could help do that and also help me remember more of the theory in other modules.,Perhaps being able to create interactive simulations where one can alter parameters to produce different results would be helpful in retaining more information about more theoretical aspects of the course,4,5,4,5,5,4
2023-02-16 18:21:29,2023-02-16 18:23:55,0,146.179.86.171,100,145,1,2023-02-16 18:23:55,R_1f9o97yXGKbkNCR,,,,,51.4957,-0.1772,anonymous,EN,1,1,2,3,4,1,4,3,1,3,,,2,5,5,5,5,5
2023-02-17 06:07:28,2023-02-17 06:09:04,0,146.169.237.89,100,95,1,2023-02-17 06:09:04,R_sHIbe5OznPkbEFH,,,,,51.3577,0.1291,anonymous,EN,3,1,4,4,4,3,2,2,1,5,,,2,4,4,4,4,4
2023-02-17 07:16:55,2023-02-17 07:22:07,0,146.169.135.67,100,311,1,2023-02-17 07:22:07,R_5i5wCxCXIo3NDQB,,,,,51.509,-0.1882,anonymous,EN,3,1,4,4,3,5,4,3,1,4,,,5,4,5,3,3,2
2023-02-17 10:34:15,2023-02-17 10:36:23,0,146.169.142.112,100,128,1,2023-02-17 10:36:23,R_6Sxq1C8cr0RNfvX,,,,,51.4032,-0.9207,anonymous,EN,4,1,5,5,4,4,5,3,4,5,More explanation on how to debug in the beginning,OOP,5,5,4,4,4,4
2023-02-17 11:35:41,2023-02-17 11:37:54,0,185.104.136.31,100,133,1,2023-02-17 11:37:55,R_Xu1fJlErtQ9mlgJ,,,,,51.4643,-0.0119,anonymous,EN,3,3,4,3,4,4,4,4,4,4,,,3,3,4,2,3,4
2023-02-18 13:48:25,2023-02-18 13:50:34,0,31.205.213.174,100,128,1,2023-02-18 13:50:34,R_1qgF4O3sQ1p0sA6,,,,,51.489,-0.215,anonymous,EN,2,2,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5
